Order ID,Customer ID,Item Name,Category,Quantity,Price,Order Time,Delivery Time (min),Customer Rating,City,Restaurant,Delivery Partner
ORD1022,CUST665,Chicken Nuggets,Fast Food,1,51.35,2025-04-08 23:45:54,55,4.9,Sharjah,Jollibee,NoonFood
ORD1023,CUST931,Gulab Jamun,Desserts,3,12.68,2025-02-15 03:48:30,34,2.7,Dubai,Jollibee,Deliveroo
ORD1024,CUST687,Gulab Jamun,Desserts,5,41.16,2025-02-03 21:22:49,34,4.2,Sharjah,Burger Hut,Zomato
ORD1025,CUST530,Chicken Nuggets,Fast Food,2,42.46,2025-02-23 22:36:07,23,4.9,Abu Dhabi,Biryani Express,NoonFood
ORD1026,CUST676,Butter Naan,Indian,3,32.34,2025-05-04 23:32:07,43,4.0,Dubai,Eat & Drink,NoonFood
ORD1027,CUST467,Croissant,Bakery,2,37.99,2025-02-24 13:39:54,57,4.2,Sharjah,Al Baik,Talabat
ORD1028,CUST763,Butter Naan,Indian,1,57.64,2025-01-09 00:05:06,53,3.7,Sharjah,Biryani Express,Deliveroo
ORD1029,CUST824,Butter Naan,Indian,1,25.15,2025-06-19 19:00:02,55,3.8,Dubai,Al Baik,NoonFood
ORD1030,CUST654,Ice Cream,Desserts,4,24.97,2025-03-07 08:15:18,51,4.9,Dubai,Jollibee,Zomato
ORD1031,CUST436,Chicken Biryani,Indian,2,11.52,2025-05-18 22:13:43,51,4.5,Abu Dhabi,Burger Hut,Deliveroo
ORD1032,CUST425,Fries,Fast Food,2,31.86,2025-02-13 06:24:55,30,2.6,Abu Dhabi,Burger Hut,Zomato
ORD1033,CUST889,Chicken Nuggets,Fast Food,1,20.0,2025-03-16 22:34:24,45,3.0,Dubai,Eat & Drink,Talabat
ORD1034,CUST470,Croissant,Bakery,2,10.08,2025-02-23 03:25:35,41,4.9,Sharjah,Al Baik,Deliveroo
ORD1035,CUST823,Chocolate Cake,Desserts,4,16.62,2025-02-28 14:10:08,50,4.1,Sharjah,Biryani Express,Zomato
ORD1036,CUST143,Hakka Noodles,Chinese,5,15.27,2025-04-15 07:31:25,38,3.5,Dubai,Eat & Drink,Talabat
ORD1037,CUST170,Spring Roll,Chinese,4,18.59,2025-03-21 09:53:51,51,2.6,Sharjah,Eat & Drink,Talabat
ORD1038,CUST760,Spring Roll,Chinese,5,27.42,2025-04-08 10:16:19,57,2.9,Dubai,Biryani Express,Deliveroo
ORD1039,CUST416,Chicken Biryani,Indian,2,27.47,2025-06-21 01:13:10,30,2.7,Dubai,Jollibee,Zomato
ORD1040,CUST531,Gulab Jamun,Desserts,2,12.61,2025-01-21 13:28:40,55,4.3,Sharjah,Al Baik,Zomato
ORD1041,CUST684,Paneer Butter Masala,Indian,1,22.62,2025-03-26 20:40:56,23,3.6,Dubai,Al Baik,Deliveroo
ORD1042,CUST826,Gulab Jamun,Desserts,4,35.09,2025-04-11 01:02:31,45,3.0,Sharjah,Biryani Express,NoonFood
ORD1043,CUST139,Chicken Biryani,Indian,5,39.26,2025-02-13 19:52:56,49,3.2,Abu Dhabi,Eat & Drink,Talabat
ORD1044,CUST822,Manchurian,Chinese,5,18.98,2025-02-03 22:23:02,33,4.8,Dubai,Jollibee,NoonFood
ORD1045,CUST582,Gulab Jamun,Desserts,1,34.87,2025-05-01 21:45:20,59,4.0,Sharjah,Biryani Express,Deliveroo
ORD1046,CUST854,Cheese Bread,Bakery,4,39.27,2025-05-17 18:12:40,39,4.4,Dubai,Al Baik,Talabat
ORD1047,CUST555,Donut,Bakery,5,47.74,2025-02-18 02:05:35,47,3.1,Abu Dhabi,Al Baik,Deliveroo
ORD1048,CUST733,Donut,Bakery,3,38.36,2025-02-17 05:36:20,23,3.3,Abu Dhabi,Biryani Express,Deliveroo
ORD1049,CUST368,Chicken Biryani,Indian,5,14.41,2025-07-03 06:32:07,46,4.6,Dubai,Al Baik,Talabat
ORD1050,CUST921,Cheese Bread,Bakery,5,51.52,2025-01-28 04:26:51,37,4.8,Sharjah,Eat & Drink,NoonFood
ORD1051,CUST837,Butter Naan,Indian,3,15.52,2025-03-23 00:57:58,30,4.7,Sharjah,Biryani Express,Deliveroo
ORD1052,CUST522,Manchurian,Chinese,5,16.02,2025-04-07 01:19:29,54,4.9,Sharjah,Biryani Express,Talabat
ORD1053,CUST262,Ice Cream,Desserts,4,45.28,2025-02-10 06:10:51,43,3.7,Dubai,Eat & Drink,NoonFood
ORD1054,CUST991,Chicken Nuggets,Fast Food,2,46.27,2025-04-29 11:49:04,37,3.3,Sharjah,Burger Hut,Deliveroo
ORD1055,CUST632,Ice Cream,Desserts,2,56.6,2025-03-12 12:48:07,44,3.1,Abu Dhabi,Burger Hut,NoonFood
ORD1056,CUST507,Donut,Bakery,1,41.43,2025-02-06 18:02:16,33,2.9,Dubai,Burger Hut,Deliveroo
ORD1057,CUST185,Gulab Jamun,Desserts,2,25.39,2025-04-14 16:20:46,50,2.7,Abu Dhabi,Biryani Express,NoonFood
ORD1058,CUST750,Chicken Nuggets,Fast Food,3,31.49,2025-06-28 17:48:11,45,4.4,Sharjah,Eat & Drink,Zomato
ORD1059,CUST563,Chicken Biryani,Indian,3,20.94,2025-01-08 11:12:38,37,4.5,Dubai,Al Baik,Deliveroo
ORD1060,CUST133,Hakka Noodles,Chinese,1,44.67,2025-03-21 05:57:45,34,3.5,Sharjah,Al Baik,Talabat
ORD1061,CUST263,Donut,Bakery,1,30.37,2025-05-06 16:17:09,33,3.3,Sharjah,Eat & Drink,Talabat
ORD1062,CUST360,Chicken Biryani,Indian,4,32.64,2025-01-05 01:45:49,26,5.0,Sharjah,Eat & Drink,Zomato
ORD1063,CUST517,Cheese Bread,Bakery,5,31.22,2025-03-07 02:53:30,22,4.7,Abu Dhabi,Jollibee,Zomato
ORD1064,CUST538,Gulab Jamun,Desserts,4,23.05,2025-02-21 08:14:24,23,4.8,Abu Dhabi,Al Baik,NoonFood
ORD1065,CUST975,Butter Naan,Indian,5,24.05,2025-03-17 06:34:26,54,4.0,Sharjah,Biryani Express,NoonFood
ORD1066,CUST686,Donut,Bakery,5,33.2,2025-04-13 08:02:40,33,2.9,Dubai,Eat & Drink,Talabat
ORD1067,CUST722,Fries,Fast Food,5,44.49,2025-03-22 19:35:27,25,4.9,Abu Dhabi,Burger Hut,Deliveroo
ORD1068,CUST475,Manchurian,Chinese,3,48.43,2025-07-04 04:16:32,51,3.7,Sharjah,Eat & Drink,Zomato
ORD1069,CUST715,Zinger Burger,Fast Food,4,12.18,2025-01-31 19:25:26,41,2.5,Dubai,Al Baik,Talabat
ORD1070,CUST225,Chocolate Cake,Desserts,4,10.09,2025-04-04 22:57:35,60,4.5,Abu Dhabi,Burger Hut,Zomato
ORD1071,CUST735,Croissant,Bakery,4,57.12,2025-06-07 08:01:19,47,3.1,Sharjah,Al Baik,Zomato
ORD1072,CUST546,Hakka Noodles,Chinese,4,10.66,2025-01-24 17:39:52,39,4.3,Abu Dhabi,Biryani Express,Talabat
ORD1073,CUST666,Donut,Bakery,5,45.27,2025-04-21 10:16:06,29,3.1,Abu Dhabi,Biryani Express,NoonFood
ORD1074,CUST612,Donut,Bakery,2,48.67,2025-04-22 10:04:56,22,4.0,Sharjah,Eat & Drink,Talabat
ORD1075,CUST976,Cheese Bread,Bakery,2,13.74,2025-03-24 17:17:18,41,4.5,Sharjah,Eat & Drink,Zomato
ORD1076,CUST757,Chicken Biryani,Indian,3,16.25,2025-05-13 09:22:40,44,2.5,Abu Dhabi,Eat & Drink,NoonFood
ORD1077,CUST621,Hakka Noodles,Chinese,3,44.66,2025-02-19 09:41:53,25,4.9,Dubai,Al Baik,Deliveroo
ORD1078,CUST748,Manchurian,Chinese,5,29.2,2025-03-17 09:38:58,40,3.4,Sharjah,Burger Hut,NoonFood
ORD1079,CUST755,Gulab Jamun,Desserts,4,56.44,2025-06-23 23:29:11,35,4.3,Abu Dhabi,Biryani Express,Talabat
ORD1080,CUST297,Zinger Burger,Fast Food,2,38.24,2025-03-31 15:12:25,37,4.1,Abu Dhabi,Eat & Drink,NoonFood
ORD1081,CUST657,Zinger Burger,Fast Food,4,21.98,2025-05-10 12:09:05,27,2.6,Dubai,Burger Hut,Zomato
ORD1082,CUST252,Chicken Nuggets,Fast Food,2,17.22,2025-06-23 02:48:41,57,4.7,Sharjah,Biryani Express,Zomato
ORD1083,CUST828,Croissant,Bakery,3,52.2,2025-05-10 17:52:00,29,3.8,Dubai,Eat & Drink,NoonFood
ORD1084,CUST667,Chocolate Cake,Desserts,5,34.61,2025-03-02 19:36:33,41,4.8,Abu Dhabi,Jollibee,Talabat
ORD1085,CUST751,Chicken Biryani,Indian,3,36.57,2025-05-29 09:24:32,59,3.9,Abu Dhabi,Jollibee,Talabat
ORD1086,CUST358,Manchurian,Chinese,4,28.62,2025-02-27 05:16:17,28,4.8,Dubai,Al Baik,Zomato
ORD1087,CUST244,Zinger Burger,Fast Food,3,23.11,2025-03-06 00:17:22,42,3.2,Dubai,Al Baik,NoonFood
ORD1088,CUST250,Hakka Noodles,Chinese,5,38.65,2025-02-22 04:37:09,34,2.7,Sharjah,Biryani Express,NoonFood
ORD1089,CUST512,Cheese Bread,Bakery,1,37.66,2025-01-28 17:09:15,46,4.0,Dubai,Biryani Express,Zomato
ORD1090,CUST113,Ice Cream,Desserts,5,12.06,2025-05-12 12:03:11,47,3.5,Abu Dhabi,Burger Hut,Deliveroo
ORD1091,CUST408,Butter Naan,Indian,2,12.41,2025-02-17 09:55:16,51,3.5,Sharjah,Burger Hut,Zomato
ORD1092,CUST924,Ice Cream,Desserts,3,57.49,2025-02-07 11:20:32,60,4.0,Abu Dhabi,Jollibee,Deliveroo
ORD1093,CUST583,Chocolate Cake,Desserts,3,45.16,2025-04-07 02:37:45,48,3.8,Dubai,Eat & Drink,Talabat
ORD1094,CUST602,Fries,Fast Food,5,14.53,2025-04-14 01:17:47,20,5.0,Abu Dhabi,Burger Hut,Zomato
ORD1095,CUST693,Chicken Biryani,Indian,5,45.93,2025-01-19 23:41:44,25,3.9,Abu Dhabi,Biryani Express,NoonFood
ORD1096,CUST351,Butter Naan,Indian,5,48.6,2025-02-10 12:11:05,43,3.1,Abu Dhabi,Eat & Drink,Zomato
ORD1097,CUST814,Chicken Biryani,Indian,2,38.41,2025-05-21 08:25:22,34,4.4,Abu Dhabi,Burger Hut,Talabat
ORD1098,CUST524,Spring Roll,Chinese,4,46.18,2025-01-02 22:28:36,45,4.8,Abu Dhabi,Al Baik,Talabat
ORD1099,CUST301,Chicken Nuggets,Fast Food,5,27.86,2025-03-04 19:22:08,44,3.2,Sharjah,Burger Hut,Talabat
ORD1100,CUST692,Cheese Bread,Bakery,2,52.66,2025-03-17 16:31:34,48,2.7,Dubai,Biryani Express,Deliveroo
ORD1101,CUST214,Ice Cream,Desserts,4,34.0,2025-01-13 14:48:45,40,4.9,Dubai,Jollibee,NoonFood
ORD1102,CUST811,Croissant,Bakery,3,34.39,2025-01-22 14:37:09,56,4.5,Abu Dhabi,Al Baik,NoonFood
ORD1103,CUST143,Croissant,Bakery,3,36.04,2025-06-14 07:31:15,27,4.3,Dubai,Eat & Drink,NoonFood
ORD1104,CUST222,Cheese Bread,Bakery,4,37.57,2025-03-17 14:24:13,39,3.2,Abu Dhabi,Eat & Drink,Zomato
ORD1105,CUST315,Manchurian,Chinese,4,37.1,2025-04-05 03:04:55,48,4.2,Abu Dhabi,Biryani Express,Talabat
ORD1106,CUST950,Gulab Jamun,Desserts,3,34.48,2025-04-07 19:16:42,23,3.4,Sharjah,Al Baik,Zomato
ORD1107,CUST365,Fries,Fast Food,5,53.67,2025-05-05 19:13:16,49,3.6,Dubai,Eat & Drink,Talabat
ORD1108,CUST346,Croissant,Bakery,2,35.46,2025-05-19 22:41:50,38,5.0,Dubai,Burger Hut,Zomato
ORD1109,CUST992,Donut,Bakery,3,30.47,2025-02-25 16:27:00,24,2.9,Sharjah,Eat & Drink,Deliveroo
ORD1110,CUST394,Donut,Bakery,1,18.7,2025-03-07 13:40:48,27,4.8,Sharjah,Eat & Drink,NoonFood
ORD1111,CUST857,Manchurian,Chinese,1,52.9,2025-01-07 05:56:12,36,2.7,Abu Dhabi,Burger Hut,NoonFood
ORD1112,CUST697,Ice Cream,Desserts,2,10.1,2025-03-26 21:29:48,54,2.9,Abu Dhabi,Jollibee,Zomato
ORD1113,CUST932,Cheese Bread,Bakery,4,50.56,2025-03-20 20:25:57,53,4.8,Sharjah,Burger Hut,Deliveroo
ORD1114,CUST992,Chocolate Cake,Desserts,4,43.25,2025-05-01 04:53:51,34,3.1,Abu Dhabi,Burger Hut,Zomato
ORD1115,CUST323,Chicken Nuggets,Fast Food,2,52.36,2025-06-13 08:51:21,49,4.6,Abu Dhabi,Eat & Drink,Talabat
ORD1116,CUST387,Croissant,Bakery,1,29.36,2025-01-24 15:30:38,45,4.3,Abu Dhabi,Jollibee,Deliveroo
ORD1117,CUST229,Hakka Noodles,Chinese,3,14.01,2025-04-04 03:59:17,34,4.7,Abu Dhabi,Jollibee,Zomato
ORD1118,CUST450,Hakka Noodles,Chinese,3,42.39,2025-06-22 15:17:39,52,2.8,Sharjah,Jollibee,Talabat
ORD1119,CUST132,Spring Roll,Chinese,3,59.11,2025-06-15 12:21:48,42,3.2,Abu Dhabi,Biryani Express,Zomato
ORD1120,CUST100,Ice Cream,Desserts,3,33.22,2025-01-16 12:15:12,55,2.7,Abu Dhabi,Al Baik,Zomato
ORD1121,CUST881,Manchurian,Chinese,3,28.34,2025-04-21 16:53:04,46,4.4,Dubai,Jollibee,NoonFood
ORD1122,CUST488,Spring Roll,Chinese,3,27.65,2025-06-04 07:24:55,43,2.9,Abu Dhabi,Jollibee,Zomato
ORD1123,CUST264,Donut,Bakery,2,23.93,2025-06-08 19:30:38,41,3.3,Dubai,Al Baik,Zomato
ORD1124,CUST778,Croissant,Bakery,4,40.96,2025-01-27 08:09:10,30,3.1,Dubai,Jollibee,Zomato
ORD1125,CUST225,Donut,Bakery,1,11.32,2025-05-22 03:00:24,43,3.5,Abu Dhabi,Eat & Drink,Zomato
ORD1126,CUST805,Ice Cream,Desserts,1,41.42,2025-01-22 18:06:41,23,2.6,Abu Dhabi,Al Baik,Talabat
ORD1127,CUST347,Hakka Noodles,Chinese,5,25.07,2025-01-05 00:16:01,57,4.1,Abu Dhabi,Burger Hut,Talabat
ORD1128,CUST520,Croissant,Bakery,1,15.6,2025-03-30 02:42:33,53,3.9,Sharjah,Jollibee,Zomato
ORD1129,CUST905,Gulab Jamun,Desserts,1,11.86,2025-01-29 11:43:33,43,4.8,Dubai,Al Baik,Deliveroo
ORD1130,CUST563,Croissant,Bakery,5,24.42,2025-06-23 17:02:32,29,5.0,Dubai,Eat & Drink,Talabat
ORD1131,CUST111,Fries,Fast Food,4,36.82,2025-02-10 20:05:40,23,4.2,Abu Dhabi,Biryani Express,NoonFood
ORD1132,CUST799,Chicken Nuggets,Fast Food,5,28.78,2025-03-13 20:26:43,28,2.8,Sharjah,Al Baik,Talabat
ORD1133,CUST425,Ice Cream,Desserts,3,15.29,2025-04-11 23:21:26,47,3.0,Dubai,Eat & Drink,Deliveroo
ORD1134,CUST453,Chocolate Cake,Desserts,4,17.61,2025-04-04 10:03:30,20,3.4,Dubai,Eat & Drink,Deliveroo
ORD1135,CUST237,Manchurian,Chinese,4,45.59,2025-06-18 18:57:03,37,4.5,Abu Dhabi,Burger Hut,Talabat
ORD1136,CUST265,Chocolate Cake,Desserts,1,42.54,2025-07-01 17:49:33,46,4.1,Sharjah,Jollibee,NoonFood
ORD1137,CUST239,Donut,Bakery,2,15.66,2025-06-09 04:19:57,38,3.6,Abu Dhabi,Burger Hut,Zomato
ORD1138,CUST630,Zinger Burger,Fast Food,3,54.16,2025-06-05 12:32:11,20,4.6,Abu Dhabi,Biryani Express,NoonFood
ORD1139,CUST219,Fries,Fast Food,3,44.35,2025-06-30 04:53:13,53,3.2,Abu Dhabi,Al Baik,Deliveroo
ORD1140,CUST627,Manchurian,Chinese,4,26.96,2025-05-02 17:46:31,41,3.3,Sharjah,Biryani Express,Zomato
ORD1141,CUST692,Gulab Jamun,Desserts,3,53.54,2025-04-26 07:19:20,24,3.7,Sharjah,Burger Hut,NoonFood
ORD1142,CUST561,Chicken Nuggets,Fast Food,3,12.78,2025-01-28 18:20:23,40,3.1,Sharjah,Al Baik,Deliveroo
ORD1143,CUST319,Donut,Bakery,2,29.78,2025-06-06 20:34:25,56,2.9,Sharjah,Biryani Express,Talabat
ORD1144,CUST918,Croissant,Bakery,5,57.62,2025-02-09 09:26:18,37,4.4,Abu Dhabi,Biryani Express,NoonFood
ORD1145,CUST785,Paneer Butter Masala,Indian,3,19.72,2025-01-17 22:26:07,34,2.9,Dubai,Burger Hut,Talabat
ORD1146,CUST949,Zinger Burger,Fast Food,4,57.92,2025-04-28 04:58:20,32,3.3,Abu Dhabi,Al Baik,Zomato
ORD1147,CUST812,Hakka Noodles,Chinese,5,15.17,2025-07-03 10:38:26,56,3.5,Abu Dhabi,Jollibee,NoonFood
ORD1148,CUST624,Croissant,Bakery,3,19.83,2025-03-11 17:58:19,36,4.1,Dubai,Eat & Drink,Zomato
ORD1149,CUST364,Cheese Bread,Bakery,1,22.52,2025-04-19 00:20:30,43,4.6,Dubai,Biryani Express,Zomato
ORD1150,CUST618,Fries,Fast Food,5,21.52,2025-06-06 03:02:59,20,3.5,Dubai,Jollibee,NoonFood
ORD1151,CUST783,Donut,Bakery,4,52.15,2025-06-24 20:49:08,27,4.9,Sharjah,Burger Hut,Deliveroo
ORD1152,CUST612,Spring Roll,Chinese,5,50.27,2025-06-25 08:32:27,45,2.8,Dubai,Eat & Drink,NoonFood
ORD1153,CUST593,Chocolate Cake,Desserts,2,11.43,2025-01-28 17:41:38,27,3.3,Abu Dhabi,Biryani Express,Deliveroo
ORD1154,CUST582,Chocolate Cake,Desserts,2,36.23,2025-02-09 09:19:18,56,4.8,Sharjah,Burger Hut,Zomato
ORD1155,CUST627,Ice Cream,Desserts,3,53.28,2025-03-28 21:08:47,43,4.7,Sharjah,Al Baik,Deliveroo
ORD1156,CUST189,Manchurian,Chinese,2,25.4,2025-03-26 16:21:44,41,4.1,Sharjah,Al Baik,Deliveroo
ORD1157,CUST399,Manchurian,Chinese,3,29.87,2025-01-15 15:24:14,38,3.1,Sharjah,Biryani Express,Talabat
ORD1158,CUST311,Spring Roll,Chinese,5,25.74,2025-05-09 10:07:32,33,3.5,Abu Dhabi,Burger Hut,Deliveroo
ORD1159,CUST455,Ice Cream,Desserts,2,11.97,2025-02-02 09:41:12,45,4.5,Abu Dhabi,Burger Hut,NoonFood
ORD1160,CUST520,Chicken Nuggets,Fast Food,2,31.05,2025-05-12 17:18:55,58,3.2,Sharjah,Biryani Express,NoonFood
ORD1161,CUST293,Cheese Bread,Bakery,1,35.98,2025-05-23 23:52:34,48,4.8,Sharjah,Biryani Express,Talabat
ORD1162,CUST666,Cheese Bread,Bakery,5,37.69,2025-02-28 17:48:56,25,4.9,Dubai,Jollibee,Deliveroo
ORD1163,CUST182,Chocolate Cake,Desserts,3,31.01,2025-06-06 14:34:02,25,2.8,Dubai,Al Baik,Deliveroo
ORD1164,CUST494,Hakka Noodles,Chinese,4,39.75,2025-02-10 00:24:58,23,4.8,Sharjah,Jollibee,NoonFood
ORD1165,CUST224,Fries,Fast Food,3,54.46,2025-05-06 17:01:20,59,4.8,Abu Dhabi,Biryani Express,Zomato
ORD1166,CUST990,Chicken Biryani,Indian,2,36.93,2025-03-21 22:38:19,27,3.1,Abu Dhabi,Jollibee,NoonFood
ORD1167,CUST235,Manchurian,Chinese,5,30.5,2025-05-24 23:45:24,30,3.6,Dubai,Biryani Express,Talabat
ORD1168,CUST701,Butter Naan,Indian,1,28.01,2025-03-04 05:21:36,26,2.7,Dubai,Jollibee,Zomato
ORD1169,CUST380,Croissant,Bakery,2,27.61,2025-03-18 11:43:50,34,3.4,Dubai,Burger Hut,Talabat
ORD1170,CUST416,Manchurian,Chinese,3,30.13,2025-01-12 08:26:44,36,5.0,Abu Dhabi,Al Baik,Talabat
ORD1171,CUST428,Chocolate Cake,Desserts,4,20.14,2025-04-24 10:15:45,35,3.7,Sharjah,Burger Hut,Deliveroo
ORD1172,CUST166,Cheese Bread,Bakery,4,18.02,2025-01-24 10:34:11,38,3.0,Dubai,Burger Hut,Deliveroo
ORD1173,CUST669,Paneer Butter Masala,Indian,1,37.12,2025-01-30 10:46:53,40,4.2,Dubai,Jollibee,Zomato
ORD1174,CUST375,Croissant,Bakery,5,36.91,2025-06-21 14:03:23,58,4.0,Dubai,Eat & Drink,Deliveroo
ORD1175,CUST685,Hakka Noodles,Chinese,3,48.97,2025-02-14 20:26:24,42,2.9,Sharjah,Eat & Drink,Deliveroo
ORD1176,CUST914,Manchurian,Chinese,2,20.57,2025-01-29 15:22:25,55,4.5,Abu Dhabi,Al Baik,Zomato
ORD1177,CUST365,Chocolate Cake,Desserts,1,12.58,2025-03-29 02:10:21,51,5.0,Sharjah,Jollibee,NoonFood
ORD1178,CUST167,Manchurian,Chinese,1,27.48,2025-06-11 12:00:01,59,4.7,Dubai,Burger Hut,Deliveroo
ORD1179,CUST659,Manchurian,Chinese,3,20.4,2025-02-12 04:43:49,52,2.8,Abu Dhabi,Al Baik,NoonFood
ORD1180,CUST313,Cheese Bread,Bakery,3,49.36,2025-05-04 14:12:39,39,4.1,Dubai,Burger Hut,NoonFood
ORD1181,CUST561,Chicken Biryani,Indian,1,50.91,2025-04-05 22:06:34,46,3.1,Sharjah,Biryani Express,Zomato
ORD1182,CUST544,Ice Cream,Desserts,1,22.3,2025-03-07 01:50:46,33,3.4,Sharjah,Eat & Drink,Zomato
ORD1183,CUST323,Paneer Butter Masala,Indian,5,24.02,2025-03-03 19:59:09,33,3.0,Abu Dhabi,Al Baik,NoonFood
ORD1184,CUST556,Ice Cream,Desserts,1,38.24,2025-03-18 11:27:08,54,4.4,Sharjah,Burger Hut,Deliveroo
ORD1185,CUST481,Ice Cream,Desserts,5,39.55,2025-05-19 16:58:52,26,2.6,Abu Dhabi,Biryani Express,Talabat
ORD1186,CUST431,Donut,Bakery,3,44.92,2025-02-09 01:39:14,43,4.1,Sharjah,Al Baik,Deliveroo
ORD1187,CUST341,Chicken Nuggets,Fast Food,5,49.39,2025-05-09 17:20:30,34,3.0,Dubai,Burger Hut,Talabat
ORD1188,CUST344,Paneer Butter Masala,Indian,1,42.86,2025-06-03 14:56:34,20,4.4,Abu Dhabi,Biryani Express,Deliveroo
ORD1189,CUST843,Spring Roll,Chinese,3,17.89,2025-05-24 01:44:14,54,3.3,Dubai,Burger Hut,NoonFood
ORD1190,CUST300,Paneer Butter Masala,Indian,5,45.78,2025-04-23 16:35:25,32,3.7,Dubai,Jollibee,Zomato
ORD1191,CUST893,Ice Cream,Desserts,3,49.74,2025-03-22 05:02:27,52,3.5,Dubai,Jollibee,Deliveroo
ORD1192,CUST516,Zinger Burger,Fast Food,5,35.52,2025-03-11 11:02:33,51,2.8,Dubai,Jollibee,NoonFood
ORD1193,CUST742,Chocolate Cake,Desserts,3,24.7,2025-05-18 15:02:31,22,4.6,Abu Dhabi,Biryani Express,NoonFood
ORD1194,CUST337,Manchurian,Chinese,2,40.43,2025-05-01 02:24:30,58,4.0,Dubai,Al Baik,Zomato
ORD1195,CUST644,Manchurian,Chinese,5,29.47,2025-02-23 13:37:24,37,4.3,Dubai,Al Baik,Zomato
ORD1196,CUST438,Donut,Bakery,4,46.06,2025-06-24 09:50:40,52,4.5,Abu Dhabi,Burger Hut,Zomato
ORD1197,CUST970,Fries,Fast Food,2,28.5,2025-06-11 17:15:30,59,4.4,Sharjah,Burger Hut,NoonFood
ORD1198,CUST528,Croissant,Bakery,5,26.81,2025-02-01 12:58:10,37,2.7,Dubai,Jollibee,NoonFood
ORD1199,CUST426,Cheese Bread,Bakery,3,22.15,2025-01-30 01:17:44,45,3.3,Dubai,Burger Hut,Talabat
ORD1200,CUST733,Spring Roll,Chinese,4,11.75,2025-03-21 15:03:38,22,4.8,Dubai,Biryani Express,Zomato
ORD1201,CUST619,Zinger Burger,Fast Food,1,30.81,2025-02-07 07:24:19,58,3.0,Abu Dhabi,Biryani Express,Talabat
ORD1202,CUST844,Zinger Burger,Fast Food,3,45.11,2025-03-01 21:34:42,34,3.7,Sharjah,Burger Hut,NoonFood
ORD1203,CUST124,Manchurian,Chinese,2,27.64,2025-04-08 12:36:35,46,3.3,Sharjah,Eat & Drink,Deliveroo
ORD1204,CUST116,Paneer Butter Masala,Indian,3,42.52,2025-02-05 23:48:46,47,4.0,Abu Dhabi,Al Baik,NoonFood
